timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680275835566,546,https://pharma-shop.tn/mon-compte-4,200,OK,Thread Group 1-3,text,true,,10029,517,5,5,https://cdn.onesignal.com/sdks/OneSignalSDK.js,407,0,265
1680275835566,466,https://pharma-shop.tn/mon-compte-5,200,OK,Thread Group 1-3,text,true,,3807,1160,5,5,https://pharma-shop.tn/img/cms/book.svg,423,0,254
1680275835565,592,https://pharma-shop.tn/mon-compte-6,200,OK,Thread Group 1-3,bin,true,,10557,1156,5,5,https://pharma-shop.tn/img/logo.png,429,0,255
1680275835566,623,https://pharma-shop.tn/mon-compte-7,200,OK,Thread Group 1-3,text,true,,13705,1161,5,5,https://pharma-shop.tn/img/cms/link6.svg,424,0,254
1680275836032,178,https://pharma-shop.tn/mon-compte-8,200,OK,Thread Group 1-3,bin,true,,6952,1165,5,5,https://pharma-shop.tn/img/cms/nutrition.png,85,0,0
1680275836114,492,https://pharma-shop.tn/mon-compte-9,200,OK,Thread Group 1-3,text,true,,22471,1161,5,5,https://pharma-shop.tn/img/cms/link3.svg,88,0,0
1680275836115,1565,https://pharma-shop.tn/mon-compte-10,200,OK,Thread Group 1-3,bin,true,,31961,1178,5,5,https://pharma-shop.tn/img/cms/menu/menu-right-visage.jpg,453,0,313
1680275836158,2269,https://pharma-shop.tn/mon-compte-11,200,OK,Thread Group 1-3,bin,true,,122518,1171,5,5,https://pharma-shop.tn/img/cms/bioxine-siteweb.png,82,0,0
1680275836190,1970,https://pharma-shop.tn/mon-compte-12,200,OK,Thread Group 1-3,bin,true,,87263,1161,5,5,https://pharma-shop.tn/img/cms/LAINO.PNG,241,0,0
1680275836211,2332,https://pharma-shop.tn/mon-compte-13,200,OK,Thread Group 1-3,bin,true,,120100,1163,5,5,https://pharma-shop.tn/img/cms/klorane.png,255,0,0
1680275836607,1733,https://pharma-shop.tn/mon-compte-14,200,OK,Thread Group 1-3,bin,true,,95269,1161,5,5,https://pharma-shop.tn/img/cms/AKTIV.png,183,0,0
1680275837680,2143,https://pharma-shop.tn/mon-compte-15,200,OK,Thread Group 1-3,bin,true,,110920,1170,5,5,https://pharma-shop.tn/img/cms/gelzone-intime.png,120,0,0
1680275838161,1671,https://pharma-shop.tn/mon-compte-16,200,OK,Thread Group 1-3,bin,true,,98660,1159,5,5,https://pharma-shop.tn/img/cms/svr.png,177,0,0
1680275838341,1835,https://pharma-shop.tn/mon-compte-17,200,OK,Thread Group 1-3,bin,true,,120392,1161,5,5,https://pharma-shop.tn/img/cms/sobio.png,186,0,0
1680275838427,1154,https://pharma-shop.tn/mon-compte-18,200,OK,Thread Group 1-3,bin,true,,79855,1162,5,5,https://pharma-shop.tn/img/cms/beurer.png,206,0,0
1680275838543,1586,https://pharma-shop.tn/mon-compte-19,200,OK,Thread Group 1-3,bin,true,,102399,1169,5,5,https://pharma-shop.tn/img/cms/nuxe-rasage_1.png,245,0,0
